gran,n_b,m_b,work,aspect,cost_A_outer_s,cost_B_outer_s,flip,orientation_speedup
coarse,153893,76933,11839450169,2.0003509547268403,27060720.96,13528074.56,True,2.0003379520108147
coarse,153853,76812,11817756636,2.0029813050044263,27053687.36,13506622.08,True,2.002994323803572
coarse,153617,76526,11755694542,2.0073831116221936,27012189.12,13456331.84,True,2.0073961790763923
coarse,152961,76169,11650886409,2.0081791805065055,26896838.08,13393732.8,True,2.0081659445976103
coarse,152015,75902,11538242530,2.0027799003978815,26730493.44,13346607.68,True,2.002793075281284
coarse,150632,75240,11333551680,2.002020202020202,26487130.88,13230201.6,True,2.002020202020202
coarse,149820,74681,11188707420,2.0061327513022054,26344348.8,13132082.88,True,2.0061058889692296
coarse,149088,74484,11104670592,2.001611084259707,26215633.92,13097266.56,True,2.001611084259707
coarse,146249,72809,10648243441,2.0086665110082547,25716600.0,12802910.4,True,2.008652657601978
coarse,143341,71564,10258055324,2.002976356827455,25205257.28,12583813.76,True,2.0029903303336876
coarse,142905,71368,10198844040,2.002368008070844,25128591.04,12549349.12,True,2.00238201995292
coarse,140815,69981,9854374515,2.0121890227347423,24761085.44,12305634.88,True,2.0121745591723585
coarse,140767,70157,9875790419,2.0064569465627096,24752645.12,12336582.72,True,2.006442600986345
coarse,140082,69940,9797335080,2.0028881898770377,24632018.88,12298249.6,True,2.0028881898770377
coarse,139962,69837,9774526194,2.0041238884831825,24610918.08,12280313.92,True,2.004095191729431
coarse,138215,68904,9523566360,2.005906768837803,24303901.44,12116079.36,True,2.005921281783351
coarse,136205,67995,9261258975,2.0031619972056767,23950463.04,11956416.64,True,2.0031472439555267
coarse,132764,66167,8784595588,2.006498707815074,23345221.76,11634981.12,True,2.0064683835086448
coarse,132525,66138,8764938450,2.003764855302549,23303371.84,11629705.92,True,2.0037799752033627
coarse,131856,65539,8641710384,2.0118707944887775,23185559.04,11524553.6,True,2.01184009765029
coarse,125034,62397,7801746498,2.003846338766287,21985978.56,10972064.32,True,2.0038142248148976
coarse,124117,62056,7702204552,2.000080572386232,21824909.12,10911927.04,True,2.000096686863478
coarse,118040,58772,6937446880,2.0084393929081874,20756153.6,10334468.48,True,2.008439392908188
coarse,113698,56845,6463162810,2.0001407335737533,19992656.32,9995800.64,True,2.000105548323541
coarse,104148,51832,5398199136,2.0093378607809846,18313384.32,9114138.88,True,2.0093378607809846
coarse,92128,45893,4228030304,2.00745211688057,16199787.52,8070000.96,True,2.0074083758225476
coarse,72255,35748,2582971740,2.0212319570325614,12705495.04,6285928.32,True,2.0212599306254893
coarse,72104,36026,2597618704,2.0014434019874536,12678767.36,6334811.84,True,2.0014434019874536
coarse,66669,33323,2221611087,2.0006902139663296,11723252.8,5859692.16,True,2.0006601848517587
coarse,64271,32065,2060849615,2.004397317947918,11301588.48,5638485.44,True,2.004365995135034
coarse,38899,19341,752345559,2.0112196887441187,6840176.0,3401097.28,True,2.0111674077137836
coarse,32468,16138,523968584,2.01189738505391,5709173.12,2837705.92,True,2.01189738505391
coarse,29013,14481,420137253,2.0035218562253987,5101821.76,2546514.88,True,2.0034525618008563
coarse,19790,9881,195544990,2.0028337212832708,3479873.6,1737650.88,True,2.0026310463468935
coarse,17619,8713,153514347,2.0221508091357743,3098300.8,1532269.76,True,2.0220335092953867
coarse,14933,7414,110713262,2.0141623954680337,1313173.12,1303677.76,True,1.0072835176692745
coarse,11090,5534,61372060,2.0039754246476327,975208.64,973098.56,True,1.0021684134441633
coarse,6859,3428,23512652,2.000875145857643,301741.44,301389.76,True,1.0011668611435238
coarse,1609,804,1293636,2.0012437810945274,14418.88,14418.88,False,1.0
coarse,1330,652,867160,2.039877300613497,9495.36,9847.04,False,1.037037037037037
coarse,1085,527,571795,2.0588235294117645,6330.24,6330.24,False,1.0
coarse,452,219,98988,2.0639269406392695,1406.72,1406.72,False,1.0
coarse,318,156,49608,2.0384615384615383,703.36,703.36,False,1.0
medium,1895,924,1750980,2.0508658008658007,19694.08,20397.44,False,1.0357142857142856
medium,1889,902,1703878,2.0942350332594235,18639.04,20045.76,False,1.0754716981132073
medium,1883,920,1732360,2.0467391304347826,19694.08,20397.44,False,1.0357142857142856
medium,1879,905,1700495,2.0762430939226517,18639.04,20045.76,False,1.0754716981132073
medium,1846,918,1694628,2.0108932461873636,19342.4,20397.44,False,1.0545454545454545
medium,1844,879,1620876,2.0978384527872582,18287.36,19342.4,False,1.0576923076923077
medium,1828,898,1641544,2.035634743875278,17935.68,20045.76,False,1.1176470588235292
medium,1810,882,1596420,2.052154195011338,17935.68,17232.32,True,1.0408163265306123
medium,1805,889,1604645,2.0303712035995503,17935.68,17584.0,True,1.02
medium,1793,852,1527636,2.1044600938967135,16880.64,16880.64,False,1.0
medium,1769,867,1533723,2.040369088811995,17584.0,17232.32,True,1.0204081632653061
medium,1766,868,1532888,2.0345622119815667,17584.0,17232.32,True,1.0204081632653061
