S,lt_mult,lt_s,hc_coarse,hc_medium,hc_fine,nc_coarse,nc_medium,nc_fine,hcmp_coarse,hcmp_medium,hcmp_fine,best_helios,best_naive
8192,0.1,17.5,2198429958.4799976,1198345980.440172,1029777281.6741402,2367764555.5199957,1420879410.7200224,1250960952.0812504,119870772,65340566,56149252,Fine,Fine
8192,0.5,87.5,10589383998.480017,5772185600.440948,4960224921.7133875,11009241035.51999,6606570690.719935,5816511872.07756,119870772,65340566,56149252,Fine,Fine
8192,1.0,175.0,21078076548.48004,11489485125.442877,9873284471.71597,21811086635.52002,13088684790.719849,11523450522.075665,119870772,65340566,56149252,Fine,Fine
8192,2.0,350.0,42055461648.47995,22924084175.444836,19699403571.717396,43414777835.51999,26052912990.71952,22937327822.05363,119870772,65340566,56149252,Fine,Fine
8192,5.0,875.0,104987616948.47984,57227881325.44876,49177760871.71933,108225851435.52005,64945597590.72145,57178959722.142746,119870772,65340566,56149252,Fine,Fine
8192,10.0,1750.0,209874542448.47977,114400876575.39388,98308356370.85281,216244307435.52,129766738590.72322,114248346222.2752,119870772,65340566,56149252,Fine,Fine
16384,0.1,17.5,1128889172.6,612258891.9996818,529474883.00085217,1267593004.1600008,829431543.0800048,749385002.2400419,61553390,33383800,28869950,Fine,Fine
16384,0.5,87.5,5437626472.600003,2949124891.9990473,2550371382.980573,5893844844.159991,3856553963.080039,3484366762.24162,61553390,33383800,28869950,Fine,Fine
16384,1.0,175.0,10823548097.600033,5870207392.001265,5076492008.034246,11676659644.159996,7640456988.07993,6903093962.237561,61553390,33383800,28869950,Fine,Fine
16384,2.0,350.0,21595391347.600025,11712372392.00372,10128733258.036137,23242289244.160023,15208263038.079851,13740548362.235672,61553390,33383800,28869950,Fine,Fine
16384,5.0,875.0,53910921097.60015,29238867392.005497,25285457008.03705,57939178044.15995,37911681188.081345,34252911562.213623,61553390,33383800,28869950,Fine,Fine
16384,10.0,1750.0,107770137347.59958,58449692392.00819,50546663258.03844,115767326044.1602,75750711438.08342,68440183562.30278,61553390,33383800,28869950,Fine,Fine
32768,0.1,17.5,592750560.6399976,317909521.4401079,280663769.1208531,724648632.9600018,535519332.8800063,492479336.1602561,32320096,17334216,15303368,Fine,Fine
32768,0.5,87.5,2855157280.6399903,1531304641.4403458,1351899529.1276035,3369351672.959997,2489969452.8800354,2289849176.1616187,32320096,17334216,15303368,Fine,Fine
32768,1.0,175.0,5683165680.64001,3048048541.4387355,2690944229.100251,6675230472.959992,4933032102.879952,4536561476.157169,32320096,17334216,15303368,Fine,Fine
32768,2.0,350.0,11339182480.640028,6081536341.441833,5369033629.154902,13286988072.960003,9819157402.879868,9029986076.153938,32320096,17334216,15303368,Fine,Fine
32768,5.0,875.0,28307232880.64009,15181999741.444117,13403301829.156113,33122260872.960014,24477533302.879536,22510259876.133583,32320096,17334216,15303368,Fine,Fine
32768,10.0,1750.0,56587316880.64006,30349438741.4458,26793748829.15693,66181048872.95996,48908159802.88145,44977382876.2227,32320096,17334216,15303368,Fine,Fine
