S,lt_mult,lt_s,best_helios,best_naive,h_cost_p1,n_cost_p1,h_cmp_p1,h_cost_p2,n_cost_p2,h_cmp_p2,h_cost_p3,n_cost_p3,h_cmp_p3,h_cost_p4,n_cost_p4,h_cmp_p4,h_cost_p5,n_cost_p5,h_cmp_p5
8192,0.1,17.5,5-char,5-char,18489276816.079998,19413788664.2,1008139412,2198429958.4799976,2367764555.5199957,119870772,1198345980.440172,1420879410.7200224,65340566,1029777281.6741402,1250960952.0812504,56149252,998038921.3125812,1215514163.9220595,54418698
8192,0.5,87.5,5-char,5-char,89059035656.08002,90267031964.2,1008139412,10589383998.480017,11009241035.51999,119870772,5772185600.440948,6606570690.719935,65340566,4960224921.7133875,5816511872.07756,56149252,4807347781.362512,5651697243.9163265,54418698
8192,1.0,175.0,5-char,5-char,177271234206.08002,178833586089.2,1008139412,21078076548.48004,21811086635.52002,119870772,11489485125.442877,13088684790.719849,65340566,9873284471.71597,11523450522.075665,56149252,9568983856.36489,11196926093.913147,54418698
8192,2.0,350.0,5-char,5-char,353695631306.07996,355966694339.2,1008139412,42055461648.47995,43414777835.51999,119870772,22924084175.444836,26052912990.71952,65340566,19699403571.717396,22937327822.05363,56149252,19092256006.36618,22287383793.879204,54418698
8192,5.0,875.0,5-char,5-char,882968822606.08,887366019089.2002,1008139412,104987616948.47984,108225851435.52005,119870772,57227881325.44876,64945597590.72145,65340566,49177760871.71933,57178959722.142746,56149252,47662072456.36822,55558756894.024445,54418698
8192,10.0,1750.0,5-char,5-char,1765090808106.0798,1773031560339.1997,1008139412,209874542448.47977,216244307435.52,119870772,114400876575.39388,129766738590.72322,65340566,98308356370.85281,114248346222.2752,56149252,95278433205.27591,111011045394.2268,54418698
16384,0.1,17.5,5-char,5-char,9281745950.119999,9802100380.519999,506093018,1128889172.6,1267593004.1600008,61553390,612258891.9996818,829431543.0800048,33383800,529474883.00085217,749385002.2400419,28869950,513402293.8810611,730438537.9199986,27993582
16384,0.5,87.5,5-char,5-char,44708257210.12001,45576189360.52,506093018,5437626472.600003,5893844844.159991,61553390,2949124891.9990473,3856553963.080039,33383800,2550371382.980573,3484366762.24162,28869950,2472953033.8554997,3396272617.922685,27993582
16384,1.0,175.0,5-char,5-char,88991396285.11998,90293800585.51999,506093018,10823548097.600033,11676659644.159996,61553390,5870207392.001265,7640456988.07993,33383800,5076492008.034246,6903093962.237561,28869950,4922391458.923286,6728565217.916323,27993582
16384,2.0,350.0,5-char,5-char,177557674435.11993,179729023035.52002,506093018,21595391347.600025,23242289244.160023,61553390,11712372392.00372,15208263038.079851,33383800,10128733258.036137,13740548362.235672,28869950,9821268308.92505,13393150417.913155,27993582
16384,5.0,875.0,5-char,5-char,443256508885.12006,448034690385.52,506093018,53910921097.60015,57939178044.15995,61553390,29238867392.005497,37911681188.081345,33383800,25285457008.03705,34252911562.213623,28869950,24517898858.925957,33386906017.8792,27993582
16384,10.0,1750.0,5-char,5-char,886087899635.12,895210802635.5199,506093018,107770137347.59958,115767326044.1602,61553390,58449692392.00819,75750711438.08342,33383800,50546663258.03844,68440183562.30278,28869950,49012283108.92722,66709832018.02447,27993582
32768,0.1,17.5,5-char,5-char,4686356706.92,4996852775.040002,255526538,592750560.6399976,724648632.9600018,32320096,317909521.4401079,535519332.8800063,17334216,280663769.1208531,492479336.1602561,15303368,272586759.7610494,483539461.44039786,14862964
32768,0.5,87.5,5-char,5-char,22573214366.920002,23233541735.040005,255526538,2855157280.6399903,3369351672.959997,32320096,1531304641.4403458,2489969452.8800354,17334216,1351899529.1276035,2289849176.1616187,15303368,1312994239.7695682,2248282021.44198,14862964
32768,1.0,175.0,5-char,5-char,44931786441.920006,46029402935.03999,255526538,5683165680.64001,6675230472.959992,32320096,3048048541.4387355,4933032102.879952,17334216,2690944229.100251,4536561476.157169,15303368,2613503589.7352023,4454210221.435484,14862964
32768,2.0,350.0,5-char,5-char,89648930591.91998,91621125335.04001,255526538,11339182480.640028,13286988072.960003,32320096,6081536341.441833,9819157402.879868,17334216,5369033629.154902,9029986076.153938,15303368,5214522289.803877,8866066621.438744,14862964
32768,5.0,875.0,5-char,5-char,223800363041.92007,228396292535.03998,255526538,28307232880.64009,33122260872.960014,32320096,15181999741.444117,24477533302.879536,17334216,13403301829.156113,22510259876.133583,15303368,13017578389.805073,22101635821.399143,14862964
32768,10.0,1750.0,5-char,5-char,447386083791.91986,456354904535.04,255526538,56587316880.64006,66181048872.95996,32320096,30349438741.4458,48908159802.88145,17334216,26793748829.15693,44977382876.2227,15303368,26022671889.805862,44160917821.54446,14862964
