n_b,m_b,total_slots,row_slots,ct_mb,gt_count,backend,cmp_tot,he_rot,he_mul_ct,he_mul_pt,he_add_ct,he_sub_ct,wall_actual_s,wall_extrap_s,peak_cts,peak_mem_mb,correct
256,512,32768,16384,7.41,61238,"1-Naive",512,6656,256,256,6656,0,0.0000,90425.9112,6,44.43,analytic
256,512,32768,16384,7.41,61238,"2-FixedOrient",512,6656,256,256,6656,0,0.0000,90425.9112,6,44.43,analytic
256,512,32768,16384,7.41,61238,"3-HELIOS-Tile",8,15,4,0,18,4,1286.9863,1402.8826,10,74.05,PASS
256,512,32768,16384,7.41,61238,"4-HELIOS-Fused",8,15,4,0,18,4,1282.5607,1402.8826,6,44.43,PASS
512,256,32768,16384,7.41,60937,"1-Naive",1024,12800,512,512,12800,0,0.0000,180794.1623,6,44.43,analytic
512,256,32768,16384,7.41,60937,"2-FixedOrient",512,6656,256,256,6656,0,0.0000,90425.9112,6,44.43,analytic
512,256,32768,16384,7.41,60937,"3-HELIOS-Tile",8,15,4,0,18,4,1292.0737,1402.8826,10,74.05,PASS
512,256,32768,16384,7.41,60937,"4-HELIOS-Fused",8,15,4,0,18,4,1291.9052,1402.8826,6,44.43,PASS
1974,1028,32768,16384,7.40,919106,"1-Naive",3948,55272,1974,1974,55272,0,0.0000,697713.1621,6,44.43,analytic
1974,1028,32768,16384,7.40,919106,"2-FixedOrient",2056,28784,1028,1028,28784,0,0.0000,363348.0905,6,44.43,analytic
1974,1028,32768,16384,7.40,919106,"3-HELIOS-Tile",130,15,65,0,79,65,20961.9820,22771.0916,72,533.16,PASS
1974,1028,32768,16384,7.40,919106,"4-HELIOS-Fused",130,15,65,0,79,65,20965.0754,22771.0916,6,44.43,PASS
